# AoA Mach CL CD
0.00000000 0.30000000 0.00320009 0.00105508
0.00000000 0.50000000 0.00339430 0.00140061
0.00000000 0.70000000 0.00414811 0.00237197
0.00000000 0.85000000 0.00799146 0.01178221
0.05235988 0.30000000 0.20334645 0.00426395
0.05235988 0.50000000 0.21443482 0.00526500
0.05235988 0.70000000 0.24073117 0.00812081
0.05235988 0.85000000 0.30466769 0.03097635
0.10471976 0.30000000 0.40028542 0.01435442
0.10471976 0.50000000 0.41840544 0.01786430
0.10471976 0.70000000 0.45803085 0.02889642
0.10471976 0.85000000 0.52705066 0.07267710
